nr,zx,nx,zy,ny,f,no,out,bin,hex
01,1,0,1,0,1,0,0,101010,2A
02,1,1,1,1,1,1,1,111111,3F
03,1,1,1,0,1,0,-1,111010,3E
04,0,0,1,1,0,0,x,001100,0C
05,1,1,0,0,0,0,y,110000,30
06,0,0,1,1,0,1,!x,001101,0D
07,1,1,0,0,0,1,!y,110001,31
08,0,0,1,1,1,1,-x,001111,0F
09,1,1,0,0,1,1,-y,110011,33
10,0,1,1,1,1,1,x+1,011111,1F
11,1,1,0,1,1,1,y+1,110111,37
12,0,0,1,1,1,0,x-1,001110,0E
13,1,1,0,0,1,0,y-1,110010,32
14,0,0,0,0,1,0,x+y,000010,02
15,0,1,0,0,1,1,x-y,010011,13
16,0,0,0,1,1,1,y-x,000111,07
17,0,0,0,0,0,0,x&y,000000,00
18,0,1,0,1,0,1,y|y,010101,15
